bench,l2_gas,steps,range_check,bitwise,other_builtins,memory_holes
composite::felt::mat3_mul_mat3,21950,187,36,0,0,7
composite::felt::mat3_mul_vec3,9170,76,12,0,0,7
composite::felt::mat4_mul_mat4,41110,359,64,0,0,7
composite::felt::quat_mul_quat,14050,122,16,0,0,8
composite::felt::quat_rotate_vec3,20870,179,32,0,0,8
composite::felt::vec3_add,1100,11,0,0,0,0
composite::felt::vec3_cross,9670,81,12,0,0,8
composite::felt::vec3_dot,4110,33,4,0,0,6
composite::felt::vec3_length,3910,29,5,0,0,7
composite::felt::vec3_normalize,12720,100,24,0,0,12
composite::felt::vec3_scale,7170,56,12,0,0,7
composite::i64b::mat3_mul_mat3,25480,214,45,0,0,9
composite::i64b::mat3_mul_mat3_span_loop,234170,2110,331,0,0,0
composite::i64b::mat3_mul_vec3,10480,85,15,0,0,9
composite::i64b::mat4_mul_mat4,47230,407,80,0,0,9
composite::i64b::quat_mul_quat,16930,146,20,0,0,10
composite::i64b::quat_rotate_vec3,25410,214,44,0,0,10
composite::i64b::vec3_add,6550,54,6,0,0,9
composite::i64b::vec3_cross,10980,90,15,0,0,10
composite::i64b::vec3_dot,4680,36,5,0,0,8
composite::i64b::vec3_length,4520,32,6,0,0,8
composite::i64b::vec3_normalize,13760,107,26,0,0,14
composite::i64b::vec3_scale,8480,65,15,0,0,9
composite::i64n::mat3_mul_mat3,98180,775,225,0,0,38
composite::i64n::mat3_mul_vec3,34580,272,75,0,0,18
composite::i64n::mat4_mul_mat4,233110,1831,544,0,0,104
composite::i64n::quat_mul_quat,63250,504,136,0,0,29
composite::i64n::quat_rotate_vec3,82950,657,186,0,0,35
composite::i64n::vec3_add,6550,54,6,0,0,9
composite::i64n::vec3_cross,24490,194,48,0,0,17
composite::i64n::vec3_dot,12980,99,25,0,0,11
composite::i64n::vec3_length,14770,109,31,0,0,15
composite::i64n::vec3_normalize,26860,205,59,0,0,21
composite::i64n::vec3_scale,11600,88,21,0,0,11
composite::mag::mat3_mul_mat3,101580,793,162,0,0,49
composite::mag::mat3_mul_mat3_span_loop,277610,2523,322,0,0,7
composite::mag::mat3_mul_vec3,36000,280,54,0,0,22
composite::mag::mat4_mul_mat4,246530,1889,381,0,0,136
composite::mag::quat_mul_quat,65150,503,98,0,0,35
composite::mag::quat_rotate_vec3,85540,670,135,0,0,38
composite::mag::vec3_add,9330,71,5,0,0,15
composite::mag::vec3_cross,23190,175,34,0,0,18
composite::mag::vec3_dot,13340,98,18,0,0,15
composite::mag::vec3_length,18460,147,30,0,0,9
composite::mag::vec3_normalize,26540,200,50,0,0,14
composite::mag::vec3_scale,9250,69,15,0,0,8
composite::magi::mat3_mul_mat3,101580,793,162,0,0,49
composite::magi::mat3_mul_vec3,36000,280,54,0,0,22
composite::magi::mat4_mul_mat4,246530,1889,381,0,0,136
composite::magi::quat_mul_quat,65150,503,98,0,0,35
composite::magi::quat_rotate_vec3,85540,670,135,0,0,38
composite::magi::vec3_add,9330,71,5,0,0,15
composite::magi::vec3_cross,23190,175,34,0,0,18
composite::magi::vec3_dot,13340,98,18,0,0,15
composite::magi::vec3_length,15210,121,21,0,0,7
composite::magi::vec3_normalize,23410,175,41,0,0,14
composite::magi::vec3_scale,9250,69,15,0,0,8
